,StudentID,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,Publications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore,ExtraCurricular,Salary Package,IsAnomaly,PlacementStatus
StudentID,1.0,-0.004221180457902104,-0.004321425831751624,-0.0036696160106653715,-0.0022034429690753047,-0.0029203975985336154,-0.0024735348125755393,-0.0024695162546715175,-0.0030565157091992506,-0.002533646304613603,0.0002994524716935028,0.0025013893923550435,0.005666865177643871,0.0023630788122362303,0.004366754843481586,0.004312056333581301,0.013300259375092369,0.004275396768957891,0.005544026316305557,0.004961318216121748,0.0023663854974741404,-0.004207477673302192,-0.005567978561525631,-0.0012964581549455047
SGPA_Sem1,-0.004221180457902104,1.0,0.9639508112332824,0.9637896476439781,0.9635999972874861,0.9631883905187413,0.9624741664549774,0.9619253701876381,0.9606395327949051,0.9114631741398598,0.4967372090363772,0.446370133505506,0.5058473348853032,0.5358937528312335,0.5502704896315744,0.45683737184973633,0.49515724521188287,0.5259997929923858,0.5460140075370228,0.6075405064438127,0.21311492091092435,0.8557461417820539,-0.005927291952871181,0.6650389425214049
SGPA_Sem2,-0.004321425831751624,0.9639508112332824,1.0,0.9649154795959577,0.9647998907578624,0.9647539196581696,0.9642508349474471,0.9638999263717182,0.9628988885432694,0.9125697733185939,0.5061043942343467,0.4557179646437171,0.5143880710484425,0.5452081120758255,0.5607304552015007,0.46483238741289384,0.5064743917959063,0.5355816714865463,0.5558021566516257,0.6181422036969492,0.21564221031125164,0.8590829998969635,-0.0040465318543118555,0.6722517070861543
SGPA_Sem3,-0.0036696160106653715,0.9637896476439781,0.9649154795959577,1.0,0.9657534429425918,0.9654768536644998,0.9658771730747814,0.9654800152095412,0.9647784459675168,0.9131739918809628,0.5138682585966632,0.46206025323354616,0.5235311931220149,0.5543898836584795,0.5689442602921635,0.47217025798944456,0.5141468465600855,0.543592728470418,0.5638934205867688,0.6272596683801285,0.22003354353044588,0.861623274035593,-0.0045810610255471495,0.6777800402763843
SGPA_Sem4,-0.0022034429690753047,0.9635999972874861,0.9647998907578624,0.9657534429425918,1.0,0.9665696853362236,0.9665236668928123,0.9663490505723148,0.9661182822642552,0.9137265518756832,0.5218763956735142,0.4685512580762284,0.5309169585959348,0.5639201300945728,0.5781637799352475,0.4799122524828092,0.5221571611342758,0.5518209921699582,0.5729056671293894,0.6370484384005581,0.22201314750086926,0.8646617505736159,-0.006517874252100059,0.6839715429193339
SGPA_Sem5,-0.0029203975985336154,0.9631883905187413,0.9647539196581696,0.9654768536644998,0.9665696853362236,1.0,0.9674424549051128,0.9674394217598327,0.96738868178193,0.913726344612012,0.5302622804862428,0.4752264481278756,0.5393353683101708,0.5711696879173298,0.5876236345103076,0.48622588727028715,0.5303059428499113,0.5606515527579478,0.5814027140549547,0.6468649005992312,0.2269987461556194,0.867604174315766,-0.0038798305827675655,0.6909135050768098
SGPA_Sem6,-0.0024735348125755393,0.9624741664549774,0.9642508349474471,0.9658771730747814,0.9665236668928123,0.9674424549051128,1.0,0.9683609565841033,0.9684327632721524,0.9136013283148533,0.5374020054487987,0.48190454230131013,0.5472989298907501,0.5793154145876378,0.5953806301319364,0.4933731753610142,0.5380661408581648,0.5692496865402058,0.5895271466660864,0.6550044637795049,0.23097493293713797,0.8692422879169316,-0.004343134251531641,0.6958810216226262
SGPA_Sem7,-0.0024695162546715175,0.9619253701876381,0.9638999263717182,0.9654800152095412,0.9663490505723148,0.9674394217598327,0.9683609565841033,1.0,0.9691801740892906,0.9143852498428084,0.5443120222062533,0.4888618430063817,0.5544370567943451,0.5865857935449141,0.604213578783836,0.4996466519320989,0.5458605551549588,0.5769713723096105,0.598429075829021,0.6644180560869781,0.23497854776127275,0.8714010026699337,-0.004707164793708198,0.7019716872056665
SGPA_Sem8,-0.0030565157091992506,0.9606395327949051,0.9628988885432694,0.9647784459675168,0.9661182822642552,0.96738868178193,0.9684327632721524,0.9691801740892906,1.0,0.9135079805792629,0.5512033730967977,0.49622378784719673,0.5622405029632819,0.5952788369723917,0.6114491609339382,0.5060722476396811,0.5529230922137814,0.5845069237851133,0.6056057281847674,0.6738520312418723,0.23732509410633473,0.8743608305760157,-0.0020363009035288997,0.7071470336022788
CGPA,-0.002533646304613603,0.9114631741398598,0.9125697733185939,0.9131739918809628,0.9137265518756832,0.913726344612012,0.9136013283148533,0.9143852498428084,0.9135079805792629,1.0,0.5671764999751606,0.5197279803100359,0.5835770458145377,0.5325990296197517,0.5497500616199519,0.4555942516797412,0.6395919231040441,0.5245493606561564,0.6961599783072244,0.6042312845447771,0.21378175208820685,0.8229027914183519,-0.02264857404229061,0.6489263470259016
